Accession,Organism_Name,Species,Genotype,Isolate,Length,Nuc_Completeness,Geo_Location,Country,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
PX427446,dengue virus type 4,Orthoflavivirus denguei,4,DP78_2024,417,partial,Cuba,Cuba,Homo sapiens,blood,"Sanchez-Mora,P., Vazquez,A., Sanchez-Seco,M.P.",2024-09-18,2026-05-05,ssRNA(+)
PX427448,dengue virus type 4,Orthoflavivirus denguei,4,DP83_2024,417,partial,Cuba,Cuba,Homo sapiens,blood,"Sanchez-Mora,P., Vazquez,A., Sanchez-Seco,M.P.",2024-09-21,2026-05-05,ssRNA(+)
PX427453,dengue virus type 4,Orthoflavivirus denguei,4,DP91_2024,417,partial,Cuba,Cuba,Homo sapiens,blood,"Sanchez-Mora,P., Vazquez,A., Sanchez-Seco,M.P.",2024-10-18,2026-05-05,ssRNA(+)
PX427454,dengue virus type 4,Orthoflavivirus denguei,4,DP94_2024,417,partial,Cuba,Cuba,Homo sapiens,blood,"Sanchez-Mora,P., Vazquez,A., Sanchez-Seco,M.P.",2024-11-20,2026-05-05,ssRNA(+)
PX427456,dengue virus type 4,Orthoflavivirus denguei,4,DP100_2024,417,partial,Cuba,Cuba,Homo sapiens,blood,"Sanchez-Mora,P., Vazquez,A., Sanchez-Seco,M.P.",2024-12-12,2026-05-05,ssRNA(+)
PX427457,dengue virus type 4,Orthoflavivirus denguei,4,DP101_2024,417,partial,Philippines,Philippines,Homo sapiens,blood,"Sanchez-Mora,P., Vazquez,A., Sanchez-Seco,M.P.",2024-12-13,2026-05-05,ssRNA(+)
PX427465,dengue virus type 4,Orthoflavivirus denguei,4,DP71_2024,417,partial,Cuba,Cuba,Homo sapiens,blood,"Sanchez-Mora,P., Vazquez,A., Sanchez-Seco,M.P.",2024-08-31,2026-05-05,ssRNA(+)
OZ432333,dengue virus type 4,Orthoflavivirus denguei,Dengue Virus 4,Dengue Virus Clinical isolate,10649,partial,India:New Delhi,India,,,"Chandan Kumar,Verma., Anchal,Raj., Megha,Brijwal., Shailendra,Mani., Jayanta,Bhattacharya., Sankar,Bhattacharyya.",2024-11-03,2026-03-16,ssRNA(+)
PZ097196,dengue virus type 4,Orthoflavivirus denguei,4,MS22005943,536,partial,"Malaysia: Cheras, Kuala Lumpur",Malaysia,Homo sapiens,blood,"Muhammad Azami,N.A., Abdul Kadir,N.S.N., Othman,S.N., Mat Rais,N., Neoh,H.-m., Moi,M.L., Periyasamy,P., Kori,N.",2022-07-12,2026-03-09,ssRNA(+)
PZ097201,dengue virus type 4,Orthoflavivirus denguei,4,MS23009567,521,partial,Malaysia: Kuala Lumpur,Malaysia,Homo sapiens,blood,"Muhammad Azami,N.A., Abdul Kadir,N.S.N., Othman,S.N., Mat Rais,N., Neoh,H.-m., Moi,M.L., Periyasamy,P., Kori,N.",2023-08-25,2026-03-09,ssRNA(+)
PZ097202,dengue virus type 4,Orthoflavivirus denguei,4,MS23009707,521,partial,Malaysia: Kuala Lumpur,Malaysia,Homo sapiens,blood,"Muhammad Azami,N.A., Abdul Kadir,N.S.N., Othman,S.N., Mat Rais,N., Neoh,H.-m., Moi,M.L., Periyasamy,P., Kori,N.",2023-08-29,2026-03-09,ssRNA(+)
PZ097203,dengue virus type 4,Orthoflavivirus denguei,4,MS23013185,524,partial,Malaysia: Kuala Lumpur,Malaysia,Homo sapiens,blood,"Muhammad Azami,N.A., Abdul Kadir,N.S.N., Othman,S.N., Mat Rais,N., Neoh,H.-m., Moi,M.L., Periyasamy,P., Kori,N.",2023-11-27,2026-03-09,ssRNA(+)
PZ097204,dengue virus type 4,Orthoflavivirus denguei,4,MS23013884,521,partial,Malaysia: Kuala Lumpur,Malaysia,Homo sapiens,blood,"Muhammad Azami,N.A., Abdul Kadir,N.S.N., Othman,S.N., Mat Rais,N., Neoh,H.-m., Moi,M.L., Periyasamy,P., Kori,N.",2023-12-14,2026-03-09,ssRNA(+)
PZ097205,dengue virus type 4,Orthoflavivirus denguei,4,UMBI019_M941,523,partial,Malaysia: Kuala Lumpur,Malaysia,Homo sapiens,blood,"Muhammad Azami,N.A., Abdul Kadir,N.S.N., Othman,S.N., Mat Rais,N., Neoh,H.-m., Moi,M.L., Periyasamy,P., Kori,N.",2021-10-14,2026-03-09,ssRNA(+)
PZ097206,dengue virus type 4,Orthoflavivirus denguei,4,UMBI034_N850,521,partial,Malaysia: Kuala Lumpur,Malaysia,Homo sapiens,blood,"Muhammad Azami,N.A., Abdul Kadir,N.S.N., Othman,S.N., Mat Rais,N., Neoh,H.-m., Moi,M.L., Periyasamy,P., Kori,N.",2021-12-28,2026-03-09,ssRNA(+)
PZ097234,dengue virus type 4,Orthoflavivirus denguei,4,MS22002887,521,partial,Malaysia: Kuala Lumpur,Malaysia,Homo sapiens,blood,"Muhammad Azami,N.A., Abdul Kadir,N.S.N., Othman,S.N., Mat Rais,N., Neoh,H.-m., Moi,M.L., Periyasamy,P., Kori,N.",2022-04-01,2026-03-09,ssRNA(+)
PZ097235,dengue virus type 4,Orthoflavivirus denguei,4,MS22010448,523,partial,Malaysia: Kuala Lumpur,Malaysia,Homo sapiens,blood,"Muhammad Azami,N.A., Abdul Kadir,N.S.N., Othman,S.N., Mat Rais,N., Neoh,H.-m., Moi,M.L., Periyasamy,P., Kori,N.",2022-11-21,2026-03-09,ssRNA(+)
PZ097236,dengue virus type 4,Orthoflavivirus denguei,4,MS23009398,523,partial,Malaysia: Kuala Lumpur,Malaysia,Homo sapiens,blood,"Muhammad Azami,N.A., Abdul Kadir,N.S.N., Othman,S.N., Mat Rais,N., Neoh,H.-m., Moi,M.L., Periyasamy,P., Kori,N.",2023-08-22,2026-03-09,ssRNA(+)
PZ097239,dengue virus type 4,Orthoflavivirus denguei,4,MS23004383,523,partial,Malaysia: Kuala Lumpur,Malaysia,Homo sapiens,blood,"Muhammad Azami,N.A., Abdul Kadir,N.S.N., Othman,S.N., Mat Rais,N., Neoh,H.-m., Moi,M.L., Periyasamy,P., Kori,N.",2023-05-01,2026-03-09,ssRNA(+)
PZ097240,dengue virus type 4,Orthoflavivirus denguei,4,MS23006840,522,partial,Malaysia: Kuala Lumpur,Malaysia,Homo sapiens,blood,"Muhammad Azami,N.A., Abdul Kadir,N.S.N., Othman,S.N., Mat Rais,N., Neoh,H.-m., Moi,M.L., Periyasamy,P., Kori,N.",2023-06-29,2026-03-09,ssRNA(+)
PZ097149,dengue virus type 4,Orthoflavivirus denguei,4,MS23009007,526,partial,"Malaysia: Cheras, Kuala Lumpur",Malaysia,Homo sapiens,blood,"Muhammad Azami,N.A., Abdul Kadir,N.S.N., Othman,S.N., Mat Rais,N., Neoh,H.-m., Moi,M.L., Periyasamy,P., Kori,N.",2023-08-14,2026-03-08,ssRNA(+)
PZ097179,dengue virus type 4,Orthoflavivirus denguei,4,MS22003696,520,partial,"Malaysia: Cheras, Kuala Lumpur",Malaysia,Homo sapiens,blood,"Muhammad Azami,N.A., Abdul Kadir,N.S.N., Othman,S.N., Mat Rais,N., Neoh,H.-m., Moi,M.L., Periyasamy,P., Kori,N.",2022-04-28,2026-03-08,ssRNA(+)
PZ097187,dengue virus type 4,Orthoflavivirus denguei,4,MS22003737,521,partial,"Malaysia: Cheras, Kuala Lumpur",Malaysia,Homo sapiens,blood,"Muhammad Azami,N.A., Abdul Kadir,N.S.N., Othman,S.N., Mat Rais,N., Neoh,H.-m., Moi,M.L., Periyasamy,P., Kori,N.",2022-05-01,2026-03-08,ssRNA(+)
PZ055419,dengue virus type 4,Orthoflavivirus denguei,4,DEN-P-0694-1,10599,partial,Viet Nam: Nha Trang,Viet Nam,Homo sapiens,blood,"Masdin,L., Ashall,J., Biggs,J., Phelan,J., Kim Huynh,M., Thuy Le,L., Bao Nguyen,T., Thai Do,H., Anh Thi Nguyen,H., Thi Thu Nguyen,T., Anh Dang,D., Iwasaki,C., Toizumi,M., Van Loock,M., Herrera-Taracena,G., Vijgen,L., Rasschaert,F., Van Wesenbeeck,L., Hafalla,J.C., Brady,O.J., Yoshida,L.M., Hue,S., Hibberd,M.L.",2018-01-07,2026-03-03,ssRNA(+)
PZ055420,dengue virus type 4,Orthoflavivirus denguei,4,DEN-P-1014-1,10599,partial,Viet Nam: Nha Trang,Viet Nam,Homo sapiens,blood,"Masdin,L., Ashall,J., Biggs,J., Phelan,J., Kim Huynh,M., Thuy Le,L., Bao Nguyen,T., Thai Do,H., Anh Thi Nguyen,H., Thi Thu Nguyen,T., Anh Dang,D., Iwasaki,C., Toizumi,M., Van Loock,M., Herrera-Taracena,G., Vijgen,L., Rasschaert,F., Van Wesenbeeck,L., Hafalla,J.C., Brady,O.J., Yoshida,L.M., Hue,S., Hibberd,M.L.",2018-10-23,2026-03-03,ssRNA(+)
PZ055421,dengue virus type 4,Orthoflavivirus denguei,4,DEN-P-1020-1,10599,partial,Viet Nam: Nha Trang,Viet Nam,Homo sapiens,blood,"Masdin,L., Ashall,J., Biggs,J., Phelan,J., Kim Huynh,M., Thuy Le,L., Bao Nguyen,T., Thai Do,H., Anh Thi Nguyen,H., Thi Thu Nguyen,T., Anh Dang,D., Iwasaki,C., Toizumi,M., Van Loock,M., Herrera-Taracena,G., Vijgen,L., Rasschaert,F., Van Wesenbeeck,L., Hafalla,J.C., Brady,O.J., Yoshida,L.M., Hue,S., Hibberd,M.L.",2018-10-23,2026-03-03,ssRNA(+)
PZ055422,dengue virus type 4,Orthoflavivirus denguei,4,DEN-P-1164-1,10598,partial,Viet Nam: Nha Trang,Viet Nam,Homo sapiens,blood,"Masdin,L., Ashall,J., Biggs,J., Phelan,J., Kim Huynh,M., Thuy Le,L., Bao Nguyen,T., Thai Do,H., Anh Thi Nguyen,H., Thi Thu Nguyen,T., Anh Dang,D., Iwasaki,C., Toizumi,M., Van Loock,M., Herrera-Taracena,G., Vijgen,L., Rasschaert,F., Van Wesenbeeck,L., Hafalla,J.C., Brady,O.J., Yoshida,L.M., Hue,S., Hibberd,M.L.",2018-11-22,2026-03-03,ssRNA(+)
PZ055423,dengue virus type 4,Orthoflavivirus denguei,4,DEN-P-1408-1,10598,partial,Viet Nam: Nha Trang,Viet Nam,Homo sapiens,blood,"Masdin,L., Ashall,J., Biggs,J., Phelan,J., Kim Huynh,M., Thuy Le,L., Bao Nguyen,T., Thai Do,H., Anh Thi Nguyen,H., Thi Thu Nguyen,T., Anh Dang,D., Iwasaki,C., Toizumi,M., Van Loock,M., Herrera-Taracena,G., Vijgen,L., Rasschaert,F., Van Wesenbeeck,L., Hafalla,J.C., Brady,O.J., Yoshida,L.M., Hue,S., Hibberd,M.L.",2019-01-03,2026-03-03,ssRNA(+)
PZ055424,dengue virus type 4,Orthoflavivirus denguei,4,DEN-P-1555-1,10599,partial,Viet Nam: Nha Trang,Viet Nam,Homo sapiens,blood,"Masdin,L., Ashall,J., Biggs,J., Phelan,J., Kim Huynh,M., Thuy Le,L., Bao Nguyen,T., Thai Do,H., Anh Thi Nguyen,H., Thi Thu Nguyen,T., Anh Dang,D., Iwasaki,C., Toizumi,M., Van Loock,M., Herrera-Taracena,G., Vijgen,L., Rasschaert,F., Van Wesenbeeck,L., Hafalla,J.C., Brady,O.J., Yoshida,L.M., Hue,S., Hibberd,M.L.",2019-02-11,2026-03-03,ssRNA(+)
PZ055425,dengue virus type 4,Orthoflavivirus denguei,4,DET-P-0028-1,10599,partial,Viet Nam: Nha Trang,Viet Nam,Homo sapiens,blood,"Masdin,L., Ashall,J., Biggs,J., Phelan,J., Kim Huynh,M., Thuy Le,L., Bao Nguyen,T., Thai Do,H., Anh Thi Nguyen,H., Thi Thu Nguyen,T., Anh Dang,D., Iwasaki,C., Toizumi,M., Van Loock,M., Herrera-Taracena,G., Vijgen,L., Rasschaert,F., Van Wesenbeeck,L., Hafalla,J.C., Brady,O.J., Yoshida,L.M., Hue,S., Hibberd,M.L.",2017-04-23,2026-03-03,ssRNA(+)
PZ055426,dengue virus type 4,Orthoflavivirus denguei,4,DET-P-0032-1,10599,partial,Viet Nam: Nha Trang,Viet Nam,Homo sapiens,blood,"Masdin,L., Ashall,J., Biggs,J., Phelan,J., Kim Huynh,M., Thuy Le,L., Bao Nguyen,T., Thai Do,H., Anh Thi Nguyen,H., Thi Thu Nguyen,T., Anh Dang,D., Iwasaki,C., Toizumi,M., Van Loock,M., Herrera-Taracena,G., Vijgen,L., Rasschaert,F., Van Wesenbeeck,L., Hafalla,J.C., Brady,O.J., Yoshida,L.M., Hue,S., Hibberd,M.L.",2017-05-05,2026-03-03,ssRNA(+)
PZ055427,dengue virus type 4,Orthoflavivirus denguei,4,DET-P-0067-1,10599,partial,Viet Nam: Nha Trang,Viet Nam,Homo sapiens,blood,"Masdin,L., Ashall,J., Biggs,J., Phelan,J., Kim Huynh,M., Thuy Le,L., Bao Nguyen,T., Thai Do,H., Anh Thi Nguyen,H., Thi Thu Nguyen,T., Anh Dang,D., Iwasaki,C., Toizumi,M., Van Loock,M., Herrera-Taracena,G., Vijgen,L., Rasschaert,F., Van Wesenbeeck,L., Hafalla,J.C., Brady,O.J., Yoshida,L.M., Hue,S., Hibberd,M.L.",2017-07-26,2026-03-03,ssRNA(+)
PZ055428,dengue virus type 4,Orthoflavivirus denguei,4,DET-P-0076-1,10598,partial,Viet Nam: Nha Trang,Viet Nam,Homo sapiens,blood,"Masdin,L., Ashall,J., Biggs,J., Phelan,J., Kim Huynh,M., Thuy Le,L., Bao Nguyen,T., Thai Do,H., Anh Thi Nguyen,H., Thi Thu Nguyen,T., Anh Dang,D., Iwasaki,C., Toizumi,M., Van Loock,M., Herrera-Taracena,G., Vijgen,L., Rasschaert,F., Van Wesenbeeck,L., Hafalla,J.C., Brady,O.J., Yoshida,L.M., Hue,S., Hibberd,M.L.",2017-08-18,2026-03-03,ssRNA(+)
PZ055429,dengue virus type 4,Orthoflavivirus denguei,4,DET-P-0229-1,10599,partial,Viet Nam: Nha Trang,Viet Nam,Homo sapiens,blood,"Masdin,L., Ashall,J., Biggs,J., Phelan,J., Kim Huynh,M., Thuy Le,L., Bao Nguyen,T., Thai Do,H., Anh Thi Nguyen,H., Thi Thu Nguyen,T., Anh Dang,D., Iwasaki,C., Toizumi,M., Van Loock,M., Herrera-Taracena,G., Vijgen,L., Rasschaert,F., Van Wesenbeeck,L., Hafalla,J.C., Brady,O.J., Yoshida,L.M., Hue,S., Hibberd,M.L.",2018-09-28,2026-03-03,ssRNA(+)
PZ055430,dengue virus type 4,Orthoflavivirus denguei,4,DET-P-0269-1,10599,partial,Viet Nam: Nha Trang,Viet Nam,Homo sapiens,blood,"Masdin,L., Ashall,J., Biggs,J., Phelan,J., Kim Huynh,M., Thuy Le,L., Bao Nguyen,T., Thai Do,H., Anh Thi Nguyen,H., Thi Thu Nguyen,T., Anh Dang,D., Iwasaki,C., Toizumi,M., Van Loock,M., Herrera-Taracena,G., Vijgen,L., Rasschaert,F., Van Wesenbeeck,L., Hafalla,J.C., Brady,O.J., Yoshida,L.M., Hue,S., Hibberd,M.L.",2018-10-21,2026-03-03,ssRNA(+)
PZ055431,dengue virus type 4,Orthoflavivirus denguei,4,DET-P-0320-1,10598,partial,Viet Nam: Nha Trang,Viet Nam,Homo sapiens,blood,"Masdin,L., Ashall,J., Biggs,J., Phelan,J., Kim Huynh,M., Thuy Le,L., Bao Nguyen,T., Thai Do,H., Anh Thi Nguyen,H., Thi Thu Nguyen,T., Anh Dang,D., Iwasaki,C., Toizumi,M., Van Loock,M., Herrera-Taracena,G., Vijgen,L., Rasschaert,F., Van Wesenbeeck,L., Hafalla,J.C., Brady,O.J., Yoshida,L.M., Hue,S., Hibberd,M.L.",2018-11-16,2026-03-03,ssRNA(+)
PZ055432,dengue virus type 4,Orthoflavivirus denguei,4,DET-P-0418-1,10599,partial,Viet Nam: Nha Trang,Viet Nam,Homo sapiens,blood,"Masdin,L., Ashall,J., Biggs,J., Phelan,J., Kim Huynh,M., Thuy Le,L., Bao Nguyen,T., Thai Do,H., Anh Thi Nguyen,H., Thi Thu Nguyen,T., Anh Dang,D., Iwasaki,C., Toizumi,M., Van Loock,M., Herrera-Taracena,G., Vijgen,L., Rasschaert,F., Van Wesenbeeck,L., Hafalla,J.C., Brady,O.J., Yoshida,L.M., Hue,S., Hibberd,M.L.",2018-12-19,2026-03-03,ssRNA(+)
PZ055433,dengue virus type 4,Orthoflavivirus denguei,4,DET-P-0496-1,10599,partial,Viet Nam: Nha Trang,Viet Nam,Homo sapiens,blood,"Masdin,L., Ashall,J., Biggs,J., Phelan,J., Kim Huynh,M., Thuy Le,L., Bao Nguyen,T., Thai Do,H., Anh Thi Nguyen,H., Thi Thu Nguyen,T., Anh Dang,D., Iwasaki,C., Toizumi,M., Van Loock,M., Herrera-Taracena,G., Vijgen,L., Rasschaert,F., Van Wesenbeeck,L., Hafalla,J.C., Brady,O.J., Yoshida,L.M., Hue,S., Hibberd,M.L.",2019-04-20,2026-03-03,ssRNA(+)
PZ049732,dengue virus type 4,Orthoflavivirus denguei,4,KMSLABD4,10648,complete,China: Yurman,China,Homo sapiens,,"Ding,K.",2023-10,2026-03-01,ssRNA(+)
PZ017578,dengue virus type 4,Orthoflavivirus denguei,4,MMC141-2024,1584,partial,Bangladesh,Bangladesh,Homo sapiens,blood,"Aung,M.S., Kobayashi,N.",2024-10-31,2026-02-24,ssRNA(+)
