Accession,Organism_Name,Species,Genotype,Isolate,Length,Nuc_Completeness,Geo_Location,Country,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
MN512239,dengue virus type I,Orthoflavivirus denguei,1,DENV1/GXNN/39/2014,1485,partial,China,China,Homo sapiens,blood,"Chen,M.M., Tan,Y., Tang,Z.Z., Lin,M., Zhou,K.J., He,W.T., Yang,Y.P., Wang,J., Chen,M.",2014-10-13,2019-10-23,ssRNA(+)
LC553233,dengue virus type 1,Orthoflavivirus denguei,,DENV1/PHL/2015/Tdi-15-161,1105,partial,Philippines:Tarlac Province,Philippines,Homo sapiens,blood,"Balingit,J.C., Saito,M., Okamoto,M.",2015-09,2020-12-08,ssRNA(+)
MG894811,Dengue virus 1,Orthoflavivirus denguei,,D1/Malaysia/1405cTw,1485,partial,Taiwan,Taiwan,Homo sapiens,blood,"Yang,C.-F., Chang,S.-F., Hsu,T.-C., Su,C.-L., Wang,T.-C., Lin,S.-H., Lin,C.-C., Shu,P.-Y.",2014-05-31,2018-08-17,ssRNA(+)
PP269473,dengue virus type 1,Orthoflavivirus denguei,1,DENV1/Viet_Nam/2012-08-07/Yale-DN01140,10616,partial,Viet Nam,Viet Nam,Homo sapiens,blood,"Breban,M.I., Hill,V., Tran,V.T., Duong,K.T.H., Dong,T.H., Tran,N.V., Anders,K., Nguyen,C.V.V., Whitehorn,J., Luong,T.H., Nguyen,T., Tran,C.N.B., Cao,T., Simmons,C., Vogels,C.B.F., Carrington,L., Wills,B., Yacoub,S., Grubaugh,N.D.",2012-08-07,2024-02-10,ssRNA(+)
JQ065952,dengue virus type I,Orthoflavivirus denguei,1,I11/2010,1436,partial,Mexico,Mexico,Homo sapiens,,"Rivas-Estilla,A.M., Bennett,S.N., Garcia-Luna,S.M., Leduc-Galindo,D., Arellanos-Soto,D., Ramos-Jimenez,J., Fernandez-Salas,I., Rincon-Herrera,U.M., Mendoza-Tavera,N., Villarreal-Perez,J.",2010-10-04,2012-03-20,ssRNA(+)
PV663071,dengue virus type 1,Orthoflavivirus denguei,1,ID0055,1485,partial,Thailand: Bangkok,Thailand,Homo sapiens,blood,"Sittikul,P., Wirasit,I., Taoma,K., Rattanamahaphoom,J., Sriburin,P., Nuprasert,W., Limkittikul,K., Rotejanaprasert,C., Chatchen,S.",2023-10-19,2025-05-30,ssRNA(+)
DQ523247,dengue virus type I,Orthoflavivirus denguei,,patient 12,462,partial,Indonesia,Indonesia,,blood,"Koraka,P., Williams,M.M., Djamiatun,K., van Batenburg,F.H.D., Setiati,T.E., Stittelaar,K.J., Osterhaus,A.D.M.E., Martina,B.E.E.",,2006-06-05,ssRNA(+)
OR235669,dengue virus type 1,Orthoflavivirus denguei,1,DENV1_RUN_S15b34_2021,9542,partial,Reunion,Reunion,Homo sapiens,blood,"Frumence,E., Traversier,N., Jaffar Bandjee,M.-C.",2021-09,2024-03-21,ssRNA(+)
MW314721,dengue virus type I,Orthoflavivirus denguei,1,KM68,1485,partial,Cambodia,Cambodia,Homo sapiens,blood,"Guo,Xf.",2019-06,2020-12-07,ssRNA(+)
MN955656,dengue virus type I,Orthoflavivirus denguei,1,Th18-087DV1,1485,partial,Thailand,Thailand,Homo sapiens,blood,"Uttayamakul,S.",2018-10,2020-07-15,ssRNA(+)
PQ433670,dengue virus type 1,Orthoflavivirus denguei,1,NDF-834,1485,partial,Taiwan: Kaohsiung,Taiwan,Homo sapiens,blood,"Tsai,J.-J., Liu,L.-T., Lin,P.-C., Tsai,C.-Y.",2023-09-05,2025-07-31,ssRNA(+)
PQ596208,dengue virus type 1,Orthoflavivirus denguei,1,19-312zhangzhou,1485,partial,China: Fujian,China,Homo sapiens,blood,"Yu,T., Kan,N., Lin,Q., Wang,J.",2019-12-01,2024-11-20,ssRNA(+)
MN448647,dengue virus type I,Orthoflavivirus denguei,1,KDH0129A_06/02/2011,10179,partial,Thailand,Thailand,Homo sapiens,,"Berry,I.M.",2011-06-01,2020-10-12,ssRNA(+)
KT232194,dengue virus type I,Orthoflavivirus denguei,,D1CN/GZ2014-B17/2014,1485,partial,China,China,Homo sapiens,blood,"Shen,S.Q., Wei,H.X., Fu,Y.H., Zhang,H., Mo,Q.Y., Wang,X.J., Deng,S.Q., Zhao,W., Liu,Y., Feng,X.S., Chen,W., Peng,H.J., Wei,H.-X., Mo,Q.-Y., Peng,H.-J.",2014-09-30,2015-11-30,ssRNA(+)
LC553234,dengue virus type 1,Orthoflavivirus denguei,,DENV1/PHL/2015/Tdi-15-166,1485,partial,Philippines:Tarlac Province,Philippines,Homo sapiens,blood,"Balingit,J.C., Saito,M., Okamoto,M.",2015-09,2020-12-08,ssRNA(+)
KU529707,dengue virus type I,Orthoflavivirus denguei,,JMB-060,1485,partial,Indonesia,Indonesia,Homo sapiens,blood,"Haryanto,S., Hayati,R.F., Yohan,B., Sijabat,L., Sihite,I.F., Fahri,S., Meutiawati,F., Halim,J.A., Halim,S.N., Soebandrio,A., Sasmono,R.T., Halim,J.A.N.",2015,2016-06-07,ssRNA(+)
AM746219,dengue virus type I,Orthoflavivirus denguei,,841,1485,partial,Saudi Arabia:Jeddah,Saudi Arabia,,,"Perera,D., Zaki,A., Cardosa,M.J.",1994,2008-05-25,ssRNA(+)
MN955647,dengue virus type I,Orthoflavivirus denguei,1,Th18-065DV1,1485,partial,Thailand,Thailand,Homo sapiens,blood,"Uttayamakul,S.",2018-07,2020-07-15,ssRNA(+)
OR844204,dengue virus type 1,Orthoflavivirus denguei,1,D1L00 007/N/2000 envelope polyprotein gene,1485,partial,Thailand: Lampang,Thailand,Homo sapiens,blood,"A-nuegoonpipat,A.",2000,2025-05-27,ssRNA(+)
MG491338,dengue virus type I,Orthoflavivirus denguei,I,DDS219/SJRI/DENV1/Chittoor/AP,407,partial,"India: Chittoor, Andhra Pradesh",India,Homo sapiens,blood,"Ahamed,S.F., Vivek,R., Britto,C., Shet,A.",2014-12-18,2018-08-28,ssRNA(+)
FJ461315,dengue virus type I,Orthoflavivirus denguei,,DENV-1/VN/BID-V1859/2007,10690,complete,Viet Nam: South,Viet Nam,Homo sapiens,blood,"Henn,M.R., Young,S., Kodira,C., Koehrsen,M., Jaffe,D., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Howarth,C., Jen,D., Larson,L., Lewis,B., Montgomery,P., Park,D., Pearson,M., Richards,J., Roberts,A., Sisk,P., Stolte,C., White,J., Zeng,Q., Yandava,C., Oleary,S., Alvarado,L., Alvarez,P., Brockman,W., Butler,J., Gnerre,S., Grabherr,M., Kleber,M., Mauceli,E., McCallum,I., Vu,H.T., Nguyen,Q.H., Nguyen,Q.T., Duong,P.H., Tran,H.T., Nguyen,L.T.M., Nguyen,L.P.H., Lander,E., Galagan,J., Nusbaum,C., Simmons,C.P., Birren,B.",2007,2009-01-26,ssRNA(+)
FJ390380,dengue virus type I,Orthoflavivirus denguei,,DENV-1/US/BID-V1742/1998,10690,complete,USA: Puerto Rico,USA,Homo sapiens,,"Henn,M.R., McElroy,K.L., Santiago,G., Young,S., Kodira,C., Koehrsen,M., Jaffe,D., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Howarth,C., Jen,D., Larson,L., Lewis,B., Montgomery,P., Park,D., Pearson,M., Richards,J., Roberts,A., Sisk,P., Stolte,C., White,J., Zeng,Q., Yandava,C., Oleary,S., Alvarado,L., Alvarez,P., Brockman,W., Butler,J., Gnerre,S., Grabherr,M., Kleber,M., Mauceli,E., MacCallum,I., Verduin,M., Munoz-Jordan,J., Lander,E., Galagan,J., Nusbaum,C., Birren,B.",1998,2008-11-01,ssRNA(+)
PP892938,dengue virus type 1,Orthoflavivirus denguei,1,DENV_NS1_NIV47,747,partial,Pakistan,Pakistan,Homo sapiens,blood,"Tariq,F., Irfan,M., Farooq,S., Iqbal,H., Khan,I.A., Choudhary,M.I.",2022-06-17,2024-06-15,ssRNA(+)
ON038524,dengue virus type 1,Orthoflavivirus denguei,1,00446/05,1485,partial,Thailand,Thailand,Homo sapiens,,"Klungthong,C., Phonpakobsin,T., Thaisomboonsuk,B., Chinnawirotpisan,P., Manasatienkit,W., Ong-ajchaowlerd,P., Rodpradit,P., Nisalak,A., Kalayanarooj,S., Punpanich Vandepitt,W., Macareo,L.R., Gibbons,R.V., Jarman,R.G., Fernandez,S.",2005-05-06,2022-03-27,ssRNA(+)
MG560257,dengue virus type I,Orthoflavivirus denguei,,P1306/China/GD/SW/2014,1485,partial,"China: Shanwei, Guangdong Province",China,Homo sapiens,,"Zhao,W., Yu,J., Hui,H., He,X., Zhong,Z., Liu,X., Mao,Y., Jia,F., Deng,J., Xu,S., Hui,Y.",2014-10-04,2018-08-07,ssRNA(+)
EU448406,dengue virus type I,Orthoflavivirus denguei,,D1/Philippines/0301aTw,1485,partial,Philippines,Philippines,,,"Shu,P.Y., Su,C.L., Liao,T.L., Yang,C.F., Chang,S.F., Lin,C.C., Chang,M.C., Hu,H.C., Huang,J.H., Shu,P.-Y., Huang,J.-H., Su,C.-L., Liao,T.-L., Yang,C.-F., Chang,S.-F., Lin,C.-C., Chang,M.-C.",2003,2008-12-31,ssRNA(+)
JF967917,Dengue virus 1,Orthoflavivirus denguei,,D1/Singapore/1007aTw,1485,partial,Singapore,Singapore,Homo sapiens,blood,"Huang,J.H., Su,C.L., Yang,C.F., Liao,T.L., Hsu,T.C., Chang,S.F., Lin,C.C., Shu,P.Y., Huang,J.-H., Su,C.-L., Liao,T.-L., Yang,C.-F., Chang,S.-F., Chang,M.-C., Hu,H.-C., Hsu,T.-C., Lin,C.-C., Shu,P.-Y.",2010,2012-05-31,ssRNA(+)
DQ264903,dengue virus type I,Orthoflavivirus denguei,,D1.Myanmar.40530.48/01,1485,partial,,,,,"Aaskov,J., Buzacott,K., Thu,H.M., Lowry,K., Holmes,E.C., Aaskov,J.G.",,2005-11-15,ssRNA(+)
PX460800,dengue virus type 1,Orthoflavivirus denguei,1,DV1/TW-KH-003-2023,1479,partial,Taiwan,Taiwan,Homo sapiens,blood,"Huang,J.Y., Weng,S.F., Yang,Z.S., Tung,Y.W., Wang,W.H., Assavalapsakul,W., Thitithanyanont,A., Chao,D.Y., Lin,C.Y., Chen,Y.H., Wang,S.F., Wang,W., Wang,S., Lin,C., Chen,Y.",2023-11,2026-04-16,ssRNA(+)
EU482490,dengue virus type I,Orthoflavivirus denguei,,DENV-1/VN/BID-V945/2007,10675,complete,Viet Nam: south,Viet Nam,Homo sapiens,blood,"Henn,M.R., Young,S., Kodira,C., Koehrsen,M., Jaffe,D., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Borenstein,D., Crawford,M., Engels,R., Freedman,E., Howarth,C., Jen,D., Larson,L., Ledlie,T., Lewis,B., Montgomery,P., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Zeng,Q., Yandava,C., Oleary,S., Alvarado,L., Alvarez,P., Brockman,W., Butler,J., Gnerre,S., Grabherr,M., Kleber,M., Mauceli,E., MacCallum,I., Vu,H.T., Nguyen,Q.H., Nguyen,Q.T., Duong,P.H., Lander,E., Galagan,J., Nusbaum,C., Simmons,C.P., Birren,B.",2007,2008-03-04,ssRNA(+)
MT929160,dengue virus type I,Orthoflavivirus denguei,1,Vero,10304,partial,Mexico: Jalisco,Mexico,Homo sapiens,blood,"Vazquez-Pichardo,M., Wong-Arambula,C., Rodriguez-Maldonado,A., Torres-Rodriguez,Mdl.L., Fuentes-Cuevas,C., Nunez-Leon,A., Duran-Ayala,D., Rosales-Jimenez,C., Aparicio-Antonio,R., Lopez-Martinez,I., Ramirez-Gonzalez,E.",2019-10-07,2020-09-01,ssRNA(+)
KY818212,Dengue virus 1,Orthoflavivirus denguei,5,DV1/COLOMBIA/128/2012,1983,partial,Colombia,Colombia,Homo sapiens,blood,"Rabaa,M.A., Chambaz,Y.G., Duong,K.T.H., Vu,T.T., Wills,B., Bonaparte,M., Vliet,D.V.D., Langevin,E., Cortes,M., Zambrano,B., Dunod,C., Tram,A.W., Jackson,N., Simmons,C.P.",2012,2017-08-14,ssRNA(+)
KF672792,dengue virus type I,Orthoflavivirus denguei,V,64616/BR/RJ/1999,1485,partial,Brazil: RJ,Brazil,Homo sapiens,,"Nogueira,F.B., dos Santos,F.B., Castro,M.G., Nunes,P.C.G., Filippis,A.M.B., Faria,N.R.C., Simoes,J.B.S., Sampaio,S.A., Santos,C.R., Nogueira,R.M.R.",1999,2013-12-17,ssRNA(+)
JX476089,dengue virus type I,Orthoflavivirus denguei,,09DX2-739,1491,partial,Viet Nam,Viet Nam,Homo sapiens,blood,"Duong,K.H., Nguyen,T.T., Huynh,H.A., Tran,H.T., Bryant,J., Nguyen,N.M., Luong,T.H., Nguyen,C.V., Farrar,J., Simmons,C.P.",2012,2012-10-21,ssRNA(+)
KY234169,dengue virus type I,Orthoflavivirus denguei,I,BKK31-15,1485,partial,Thailand: Bangkok,Thailand,Aedes aegypti,,"Sittivicharpinyo,T., Surat,W.",2015-10,2017-12-31,ssRNA(+)
MN933715,dengue virus type I,Orthoflavivirus denguei,1,2016XN25012,1118,partial,China,China,Homo sapiens,blood,"Su,W., Jiang,L., Cao,Y.",2016-11-25,2020-01-19,ssRNA(+)
MG560225,dengue virus type I,Orthoflavivirus denguei,,P1060/China/GD/GZ/2014,1485,partial,"China: Guangzhou, Guangdong Province",China,Homo sapiens,blood,"Zhao,W., Yu,J., Hui,H., He,X., Zhong,Z., Liu,X., Mao,Y., Jia,F., Deng,J., Xu,S., Hui,Y.",2014-09-15,2018-08-07,ssRNA(+)
KM925072,dengue virus type I,Orthoflavivirus denguei,,GZ201402,1470,partial,China,China,Homo sapiens,,"Yang,L., Ren,R., Zhang,P., Chen,Y., Yan,H.",2014,2015-03-09,ssRNA(+)
MH611961,dengue virus type I,Orthoflavivirus denguei,III,SG(EHI)D1/16637Y14,1485,partial,Singapore,Singapore,Homo sapiens,,"Hapuarachchi,H.C., Koo,C., Kek,R., Xu,H., Lai,Y.L., Liu,L., Kok,S.Y., Shi,Y., Chuen,R.L., Lee,K.S., Maurer-Stroh,S., Ng,L.C., Chuen,R.L.T.",2014-04,2018-09-25,ssRNA(+)
MW946111,dengue virus type I,Orthoflavivirus denguei,1,00012/97,10179,partial,Thailand,Thailand,Homo sapiens,,"Katzelnick,L., Escoto,A., Huang,A., Garcia-Carreras,B., Chowdhury,N., Berry,I., Chavez,C., Rutvisuttinunt,W., Buchy,P., Duong,V., Dussart,P., Gromowski,G., Macareo,L., Smith,D., Jarman,R., Whitehead,S., Salje,H., Cummings,D., Lessler,J., Melendrez,M., Endy,T., Kalanarooj,S., A-Nuegoonpipat,A., Chanama,S., Sangkijporn,S., Klungthong,C., Thaisomboonsuk,B., Nisalak,A., Gibbons,R., Iamsirithaworn,S., Yoon,I.-K., Sangarsang,A.",1997,2021-04-23,ssRNA(+)
MH612026,dengue virus type I,Orthoflavivirus denguei,III,SG(EHI)D1/18662Y14,1485,partial,Singapore,Singapore,Homo sapiens,,"Hapuarachchi,H.C., Koo,C., Kek,R., Xu,H., Lai,Y.L., Liu,L., Kok,S.Y., Shi,Y., Chuen,R.L., Lee,K.S., Maurer-Stroh,S., Ng,L.C., Chuen,R.L.T.",2014-05,2018-09-25,ssRNA(+)
MZ857205,dengue virus type I,Orthoflavivirus denguei,1,KAJP5_DENV1_Angola_Central.Africa_2013,10179,partial,Angola,Angola,Homo sapiens,blood,"Alfsnes,K., Eldholm,V., Gaunt,M.W., de Lamballerie,X., Gould,E.A., Pettersson,J.H., Gaunt,M., Gould,E.",2013,2021-11-18,ssRNA(+)
MN921619,dengue virus type I,Orthoflavivirus denguei,1,19XN51082*,1625,partial,China,China,Homo sapiens,,"Su,W., Jiang,L., Cao,Y.",2019-10-04,2020-01-15,ssRNA(+)
JN903584,dengue virus type I,Orthoflavivirus denguei,1,D1/IN/RGCB587/2009,303,partial,India,India,Homo sapiens,blood,"Anoop,M., Mathew,A.J., Jayakumar,B., Issac,A., Nair,S., Abraham,R., Anupriya,M.G., Sreekumar,E., Manakkadan,A.",2009-04-05,2012-07-18,ssRNA(+)
AY732447,Dengue virus 1,Orthoflavivirus denguei,,ThD1_0673_80,1485,partial,Thailand: Bangkok,Thailand,,,"Zhang,C., Mammen,M.P. Jr., Chinnawirotpisan,P., Klungthong,C., Rodpradit,P., Monkongdee,P., Nimmannitya,S., Kalayanarooj,S., Holmes,E.C., Tararut,P.",1980,2005-11-16,ssRNA(+)
MG894887,Dengue virus 1,Orthoflavivirus denguei,,D1/Malaysia/1509eTw,1485,partial,Taiwan,Taiwan,Homo sapiens,blood,"Yang,C.-F., Chang,S.-F., Hsu,T.-C., Su,C.-L., Wang,T.-C., Lin,S.-H., Lin,C.-C., Shu,P.-Y.",2015-09-26,2018-08-17,ssRNA(+)
HM181948,dengue virus type I,Orthoflavivirus denguei,,DENV-1/KH/BID-V4249/2007,10670,complete,Cambodia: KCH,Cambodia,Homo sapiens,,"Henn,M.R., Levin,J., Malboeuf,C., Casali,M., Russ,C., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Young,S., Berlin,A., Heiman,D., Sykes,S., Koehrsen,M., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Neiman,D., Park,D., Pearson,M., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Veasna,D., Sivuth,O., Vong,S., Reynes,J.-M., Chantha,N., Socheat,D., Nusbaum,C., Buchy,P., Birren,B.",2007,2010-06-21,ssRNA(+)
MH680101,Dengue virus 1,Orthoflavivirus denguei,I,SG(EHI)D1/27022Y14,1485,partial,Singapore,Singapore,Homo sapiens,,"Koo,C., Tien,W.P., Xu,H., Ong,J., Rajarethinam,J., Lai,Y.L., Ng,L.-C., Hapuarachchi,H.C.",2013-08,2018-08-17,ssRNA(+)
OR235446,dengue virus type 1,Orthoflavivirus denguei,1,DENV1_RUN_S19b22_2021,10528,partial,Reunion,Reunion,Homo sapiens,blood,"Frumence,E., Traversier,N., Jaffar Bandjee,M.-C.",2021-01,2024-03-21,ssRNA(+)
PP124102,dengue virus type 1,Orthoflavivirus denguei,1,D512/D1/Selangor/2015,1485,partial,Malaysia,Malaysia,Homo sapiens,blood,"Chem,Y.K., Yenamandra,S.P., Chong,C.K., Mudin,R.N., Wan,M.K., Tajudin,N., Abu Bakar,R.S., Yamin,M.A., Yahya,R., Chang,C.C., Koo,C., Ng,L.C., Hapuarachchi,H.C.",2015,2024-05-13,ssRNA(+)
AF426114,dengue virus type I,Orthoflavivirus denguei,,PRS 228686,1044,partial,Myanmar,Myanmar,Homo sapiens,,"Goncalvez,A.P., Escalante,A.A., Pujol,F.H., Ludert,J.E., Tovar,D., Salas,R., Liprandi,F.",,2003-07-01,ssRNA(+)
MN448662,dengue virus type I,Orthoflavivirus denguei,1,KDH0156A_07/21/2011,10179,partial,Thailand,Thailand,Homo sapiens,,"Berry,I.M.",2011-07-20,2020-10-12,ssRNA(+)
PV205775,dengue virus type 1,Orthoflavivirus denguei,1,UWARN_MTNB24_20230201_D1V,10241,partial,"Brazil: Sinop, MT",Brazil,Homo sapiens,blood,"Fonseca,V., Giovanetti,M., Guimaraes,N., Moreno,K., Tome,M., LACENs,M., Climade,c., Alcantara,L.",2023-02-01,2026-03-30,ssRNA(+)
OR235353,dengue virus type 1,Orthoflavivirus denguei,1,DENV1_RUN_S20b26_2020,10528,partial,Reunion,Reunion,Homo sapiens,blood,"Frumence,E., Traversier,N., Jaffar Bandjee,M.-C.",2020-02,2024-03-21,ssRNA(+)
MW302868,dengue virus type I,Orthoflavivirus denguei,1,RL173,1485,partial,Myanmar,Myanmar,Homo sapiens,blood,"Guo,Xf.",2014-09,2021-02-02,ssRNA(+)
PX490321,dengue virus type 1,Orthoflavivirus denguei,1,PERU_03431_LOR,10478,partial,Peru: Loreto,Peru,Homo sapiens,blood,"Drexler,F., Piche,M.",2020-03,2026-02-28,ssRNA(+)
GU131894,dengue virus type I,Orthoflavivirus denguei,,DENV-1/IPC/BID-V3786/2008,10663,complete,Cambodia: PHP,Cambodia,Homo sapiens,,"Henn,M.R., Levin,J., Malboeuf,C., Casali,M., Russ,C., Lennon,N., Erlich,R., Anderson,S., Rizzolo,K., Green,L., Ryan,E., Yu,Q., Young,S., Berlin,A., Heiman,D., Hepburn,T., Sykes,S., Koehrsen,M., Borenstein,D., Engels,R., Freedman,E., Gellesch,M., Heilman,E., Howarth,C., Jen,D., Larson,L., Lewis,B., Montgomery,P., Park,D., Pearson,M., Richards,J., Roberts,A., Sisk,P., Stolte,C., White,J., Alvarado,L., Champion,M., Godfrey,P., Shenoy,N., Yandava,C., Zeng,Q., Veasna,D., Sivuth,O., Vong,S., Reynes,J.-M., Chantha,N., Socheat,D., Nusbaum,C., Buchy,P., Birren,B.",2008,2009-11-11,ssRNA(+)
KY828182,dengue virus type I,Orthoflavivirus denguei,,AS/11925/2015,388,partial,India,India,Homo sapiens,blood,"Chetry,S., Khan,S.A., Dutta,P.",2015,2018-03-17,ssRNA(+)
OR235600,dengue virus type 1,Orthoflavivirus denguei,1,DENV1_RUN_S16b38_2021,10569,partial,Reunion,Reunion,Homo sapiens,blood,"Frumence,E., Traversier,N., Jaffar Bandjee,M.-C.",2021-11,2024-03-21,ssRNA(+)
KP749481,dengue virus type I,Orthoflavivirus denguei,1,GZ201403NS1,1056,partial,China,China,Homo sapiens,,"Yang,L., Chen,Y., Ren,W.R., Zhang,P., Yan,C.H.",2014,2015-07-22,ssRNA(+)
OR258532,dengue virus type 1,Orthoflavivirus denguei,1,LACENMS_LIB2_44_20220419,10126,partial,"Brazil: Paraiso das Aguas, Mato Grosso do Sul",Brazil,Homo sapiens,blood,"Castilho De Arruda,L.D., Giovanetti,M., Fonseca,V., Zardin,M.C.S.U., Lichs,G.G.C., Asato,S., Esposito,A.O.P., Tokeshi Muller,M., Xavier,J., Fritsch,H., Lima,M., De Oliveira,C., Santos,E.V., Maziero,L.M.A., Frias,D.F.R., Ahad Das Neves,D., Ferreira Da Silva,L., Rodrigues Barretos,E.C., Tsuha Oshiro,P.E., Modafari Goday,B., Lemos Dos Santos,J.K., Kashima,S., Albuquerque,C.F.C., Said,R.F.D.C., Rosewell,A., Demarchi,L.H.F., Croda,J., Alcantara,L.C.J., Cavalheiro Maymone Goncalves,C., De Mello Almeida Maziero,L., Castilhos Souza Umaki Zardin,M., Garcia De Castro Lichs,G., Rezende Romera,G., Domingues Castilho De Arruda,L., Castanho Escandolhero,V., Ferreira Barbosa,K., Galindo Martins Tebet,D., Oliveira,C., Vieira Santos,E., Rodrigues Frias,D.F., Henrique Tsuha,D., Do Carmo Said,R.F., Ferraz Demarchi,L.H., Junior Alcantara,L.C., Rosa Croda,J.H.",2022-04-19,2023-10-03,ssRNA(+)
OR348418,dengue virus type 1,Orthoflavivirus denguei,1,91525_BR_ARA_2021,599,partial,Brazil,Brazil,Homo sapiens,blood,"Souza,C., Romano,C.",2021-06,2023-12-22,ssRNA(+)
MG738151,dengue virus type I,Orthoflavivirus denguei,I,D1/China/GDzs/D17495/2017,1485,partial,China,China,Homo sapiens,blood,"De,W., Huan,Z., Xin,Z., Qiqi,T., Huiqiong,Z.",2017,2019-12-31,ssRNA(+)
PP563949,dengue virus type 1,Orthoflavivirus denguei,1,23GZ22174_D1_A,10574,partial,China: Guangzhou,China,Homo sapiens,blood,"Su,W., Lu,W., Liu,P.",2023-10-26,2024-04-04,ssRNA(+)
PP124138,dengue virus type 1,Orthoflavivirus denguei,1,522/D1/Terengganu/2016,1485,partial,Malaysia,Malaysia,Homo sapiens,blood,"Chem,Y.K., Yenamandra,S.P., Chong,C.K., Mudin,R.N., Wan,M.K., Tajudin,N., Abu Bakar,R.S., Yamin,M.A., Yahya,R., Chang,C.C., Koo,C., Ng,L.C., Hapuarachchi,H.C.",2016,2024-05-13,ssRNA(+)
